image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000860,exponential,rectangle_random,img_align_celeba\000860.jpg,noise_image\000860_exponential.jpg,noise_inpainted_results\000860_exponential_rectangle_random_inpainted.jpg,18.70201437544425,15.135691237383536,15.473071537569938,0.5208471349973246,0.22106315588744943,0.16971602891593215,876.7563567329829,1993.0180737381027,1844.0521853417174
000861,uniform,rectangle_random,img_align_celeba\000861.jpg,noise_image\000861_uniform.jpg,noise_inpainted_results\000861_uniform_rectangle_random_inpainted.jpg,21.860387534370037,14.366338603976274,13.82618769843479,0.43349873224081586,0.17499555520536428,0.113800569363656,423.68355495996974,2379.285185376078,2694.3970295158574
000862,exponential,rectangle_random,img_align_celeba\000862.jpg,noise_image\000862_exponential.jpg,noise_inpainted_results\000862_exponential_rectangle_random_inpainted.jpg,19.377298183868458,15.745288243849412,16.380324863264956,0.5974244414515296,0.3423347296445994,0.3061152752770515,750.4997337044291,1732.014551764423,1496.4006030306155
000863,gamma,rectangle_random,img_align_celeba\000863.jpg,noise_image\000863_gamma.jpg,noise_inpainted_results\000863_gamma_rectangle_random_inpainted.jpg,13.716381706781993,13.303574290920137,16.954398433918698,0.26125977766855174,0.16244558455990218,0.10344599047840332,2763.390054289936,3038.945641342817,1311.1141892588394
000864,gamma,rectangle_random,img_align_celeba\000864.jpg,noise_image\000864_gamma.jpg,noise_inpainted_results\000864_gamma_rectangle_random_inpainted.jpg,13.712578790411087,13.536942036314784,16.93238234124877,0.2850208287151195,0.19774575835821337,0.1284767780246873,2765.81088719376,2879.958019791774,1317.7776174277567
000865,exponential,rectangle_random,img_align_celeba\000865.jpg,noise_image\000865_exponential.jpg,noise_inpainted_results\000865_exponential_rectangle_random_inpainted.jpg,18.752395846010184,15.115440395350252,16.119426658093897,0.5226067411501666,0.21611291855160972,0.1512186979254383,866.6440830842181,2002.3330756279422,1589.0504844861355
000866,gaussian,rectangle_random,img_align_celeba\000866.jpg,noise_image\000866_gaussian.jpg,noise_inpainted_results\000866_gaussian_rectangle_random_inpainted.jpg,24.332750500023298,16.58149420157538,16.292041824133392,0.4429955336419666,0.25229828886699784,0.2055809251212716,239.7757791292994,1428.6667611586433,1527.1305965020788
000867,gaussian,rectangle_random,img_align_celeba\000867.jpg,noise_image\000867_gaussian.jpg,noise_inpainted_results\000867_gaussian_rectangle_random_inpainted.jpg,23.470282044943367,17.350963991265495,16.609488458100056,0.5557784980916033,0.21118193009788114,0.1617696680396298,292.4503573514758,1196.696337147373,1419.4873123045734
000868,gaussian,rectangle_random,img_align_celeba\000868.jpg,noise_image\000868_gaussian.jpg,noise_inpainted_results\000868_gaussian_rectangle_random_inpainted.jpg,23.7544053402272,19.447182829176235,18.212967941289403,0.39290525193447806,0.23256970126243978,0.1430635833699844,273.93014465862626,738.5196886918874,981.2588049341992
000869,gamma,rectangle_random,img_align_celeba\000869.jpg,noise_image\000869_gamma.jpg,noise_inpainted_results\000869_gamma_rectangle_random_inpainted.jpg,16.432354576521714,13.925813075539093,16.34046565379541,0.6828867977440991,0.3834372168036064,0.3590689124979776,1478.5802580489983,2633.292203552898,1510.1976686252276
000870,gaussian,rectangle_random,img_align_celeba\000870.jpg,noise_image\000870_gaussian.jpg,noise_inpainted_results\000870_gaussian_rectangle_random_inpainted.jpg,24.141170130095023,16.19409322083516,15.78394156186771,0.4904164936854239,0.25342779010373157,0.21052264375170907,250.58977596811326,1561.9640672782875,1716.6675772257156
000871,gamma,rectangle_random,img_align_celeba\000871.jpg,noise_image\000871_gamma.jpg,noise_inpainted_results\000871_gamma_rectangle_random_inpainted.jpg,19.28899678599357,18.416722649532755,23.0431747125833,0.7468670740665869,0.5939822620152906,0.6095933633433,765.9151891557572,936.2850651135622,322.67319520324367
000872,gamma,rectangle_random,img_align_celeba\000872.jpg,noise_image\000872_gamma.jpg,noise_inpainted_results\000872_gamma_rectangle_random_inpainted.jpg,15.889637331359694,14.315371578594274,17.075462097798752,0.6186228087355333,0.38840864481336485,0.3556856038464788,1675.3927344260042,2407.371989142013,1275.0703621619764
000873,exponential,rectangle_random,img_align_celeba\000873.jpg,noise_image\000873_exponential.jpg,noise_inpainted_results\000873_exponential_rectangle_random_inpainted.jpg,19.50449037113816,15.868489317824146,16.390292714483525,0.5423087918554882,0.3175172456797437,0.24015765816573778,728.8385303920558,1683.5709720647355,1492.9700288630038
000874,uniform,rectangle_random,img_align_celeba\000874.jpg,noise_image\000874_uniform.jpg,noise_inpainted_results\000874_uniform_rectangle_random_inpainted.jpg,22.523325301067352,16.143639414615997,15.619738800849357,0.49751008398141333,0.28278298274997327,0.1988826399435579,363.70379342335843,1580.2158712160258,1782.8158265470913
000875,gaussian,rectangle_random,img_align_celeba\000875.jpg,noise_image\000875_gaussian.jpg,noise_inpainted_results\000875_gaussian_rectangle_random_inpainted.jpg,23.48306008784895,17.341828065939172,16.58709995553225,0.47934197418329133,0.2555932868468418,0.17576153758548352,291.591158987046,1199.2163866268083,1426.8238669552968
000876,exponential,rectangle_random,img_align_celeba\000876.jpg,noise_image\000876_exponential.jpg,noise_inpainted_results\000876_exponential_rectangle_random_inpainted.jpg,18.54269228169221,16.78890897342282,17.664036552117825,0.4445943592115209,0.19024105595604168,0.13956482035742684,909.5176528192969,1362.0387503006564,1113.4653472150637
