image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
001939,gamma,line_random,img_align_celeba\001939.jpg,noise_image\001939_gamma.jpg,noise_inpainted_results\001939_gamma_line_random_inpainted.jpg,13.66379865032096,12.362595798096143,15.422174847807916,0.3273195862097631,0.16679270952572153,0.13704326659557856,2797.0517128818333,3774.164115383294,1865.7904941071367
001940,exponential,line_random,img_align_celeba\001940.jpg,noise_image\001940_exponential.jpg,noise_inpainted_results\001940_exponential_line_random_inpainted.jpg,18.73298681481878,14.33722313197735,14.886746554365768,0.4431895139681216,0.15673646217570503,0.1366324684981398,870.5258650310965,2395.289703810604,2110.5988901487817
001941,exponential,line_random,img_align_celeba\001941.jpg,noise_image\001941_exponential.jpg,noise_inpainted_results\001941_exponential_line_random_inpainted.jpg,20.13693973994881,16.01332790697665,16.929344208795634,0.692216988426884,0.3760691830268584,0.3173019865221196,630.0664965811085,1628.3492938872282,1318.6997989897948
001942,gaussian,line_random,img_align_celeba\001942.jpg,noise_image\001942_gaussian.jpg,noise_inpainted_results\001942_gaussian_line_random_inpainted.jpg,23.40791451229908,19.579675228726106,18.23121227414554,0.4480554922072281,0.2553865144507883,0.16956450793633845,296.6804367247363,716.3295021131842,977.1452685290176
001943,gaussian,line_random,img_align_celeba\001943.jpg,noise_image\001943_gaussian.jpg,noise_inpainted_results\001943_gaussian_line_random_inpainted.jpg,23.853143077310733,18.181766121362227,17.394555517383452,0.4964265058151714,0.249426008026032,0.1845269676401358,267.7725492217297,988.3340291378896,1184.7447943510979
001944,gaussian,line_random,img_align_celeba\001944.jpg,noise_image\001944_gaussian.jpg,noise_inpainted_results\001944_gaussian_line_random_inpainted.jpg,23.867899496933127,16.622770304968462,16.097211210095427,0.5186407034926385,0.22407233260348067,0.1589332580746379,266.86425798027693,1415.1527849362608,1597.1997732192558
001945,gaussian,line_random,img_align_celeba\001945.jpg,noise_image\001945_gaussian.jpg,noise_inpainted_results\001945_gaussian_line_random_inpainted.jpg,23.51048882012854,14.92123418742111,14.493056639124102,0.6221984091977099,0.1667583825392145,0.11874464820336551,289.7553602721369,2093.9048465793903,2310.8656495893892
001946,exponential,line_random,img_align_celeba\001946.jpg,noise_image\001946_exponential.jpg,noise_inpainted_results\001946_exponential_line_random_inpainted.jpg,18.797271673048424,15.185983355215358,15.861010630767902,0.4925929483647045,0.18013119430119595,0.1585245202530562,857.7351218087482,1970.0716678692918,1686.4726316874549
001947,gamma,line_random,img_align_celeba\001947.jpg,noise_image\001947_gamma.jpg,noise_inpainted_results\001947_gamma_line_random_inpainted.jpg,15.59157274421197,13.646996059605048,16.669146151065487,0.610348537786349,0.41108513700661603,0.38176542546331316,1794.415807648696,2807.894297838711,1400.1215682232073
001948,exponential,line_random,img_align_celeba\001948.jpg,noise_image\001948_exponential.jpg,noise_inpainted_results\001948_exponential_line_random_inpainted.jpg,19.132067724993757,14.672128679648429,15.174103859995178,0.511205236368417,0.21850081509480854,0.17885751056600718,794.0970604405044,2217.519731642786,1975.467889908257
001949,exponential,line_random,img_align_celeba\001949.jpg,noise_image\001949_exponential.jpg,noise_inpainted_results\001949_exponential_line_random_inpainted.jpg,18.59923754421352,15.95127507906042,16.691313093051043,0.34166878857917754,0.1896008381026665,0.15268698904796787,897.7524653815758,1651.7824708792907,1392.9933769714462
001950,uniform,line_random,img_align_celeba\001950.jpg,noise_image\001950_uniform.jpg,noise_inpainted_results\001950_uniform_line_random_inpainted.jpg,22.076302872539472,17.519637944130167,16.450912998627768,0.4955856671055872,0.27789836670616613,0.18108833138473757,403.13459952582207,1151.109310036766,1472.2754183417517
001951,exponential,line_random,img_align_celeba\001951.jpg,noise_image\001951_exponential.jpg,noise_inpainted_results\001951_exponential_line_random_inpainted.jpg,18.775190470048347,16.286429823444536,17.11480085756932,0.40685433380862984,0.19903334058292374,0.16508954624371627,862.1072827543552,1529.1052468817647,1263.5728189533725
001952,gamma,line_random,img_align_celeba\001952.jpg,noise_image\001952_gamma.jpg,noise_inpainted_results\001952_gamma_line_random_inpainted.jpg,13.316751908691346,12.950421029899006,16.355011004202577,0.2253190075761865,0.14423799524534078,0.1035090285344179,3029.738669552967,3296.387494416383,1505.1481891901178
001953,gaussian,line_random,img_align_celeba\001953.jpg,noise_image\001953_gaussian.jpg,noise_inpainted_results\001953_gaussian_line_random_inpainted.jpg,23.175366073560863,17.124335914172395,16.274053216147752,0.5599807196493597,0.18413828517213585,0.12547559546094933,312.9995790811944,1260.8016527505756,1533.4691354843144
001954,exponential,line_random,img_align_celeba\001954.jpg,noise_image\001954_exponential.jpg,noise_inpainted_results\001954_exponential_line_random_inpainted.jpg,18.854081039131298,16.029497390729688,17.049483626894236,0.4680561350768407,0.2522800412934322,0.1810286613175263,846.5882898670241,1622.2979589733018,1282.7203896505514
001955,uniform,line_random,img_align_celeba\001955.jpg,noise_image\001955_uniform.jpg,noise_inpainted_results\001955_uniform_line_random_inpainted.jpg,21.841841983385272,16.41494909142915,15.503337458577056,0.5129372015929763,0.2183584943806399,0.15254727389053888,425.4966670102739,1484.517944885407,1831.2456877297873
001956,gamma,line_random,img_align_celeba\001956.jpg,noise_image\001956_gamma.jpg,noise_inpainted_results\001956_gamma_line_random_inpainted.jpg,13.477030287984777,12.13813835678803,14.71346483295476,0.3314831942060531,0.13831201703090887,0.09323284819449233,2919.962890423668,3974.3537951413946,2196.5135037624987
001957,gamma,line_random,img_align_celeba\001957.jpg,noise_image\001957_gamma.jpg,noise_inpainted_results\001957_gamma_line_random_inpainted.jpg,14.775235217363843,12.269159872987958,14.707111929867873,0.6729286911082607,0.16941382305147654,0.16116654865519212,2165.49327388929,3856.242827199945,2199.7289368793595
001958,gaussian,line_random,img_align_celeba\001958.jpg,noise_image\001958_gaussian.jpg,noise_inpainted_results\001958_gaussian_line_random_inpainted.jpg,23.90902107396119,19.00675184061192,18.142616403664583,0.42841262327394247,0.24987443709203885,0.21661183572208775,264.34935401848605,817.3445606982098,997.2836992749889
001959,gaussian,line_random,img_align_celeba\001959.jpg,noise_image\001959_gaussian.jpg,noise_inpainted_results\001959_gaussian_line_random_inpainted.jpg,23.11339756786891,17.584456268699665,16.642333101250696,0.46414722267088065,0.21969143577258118,0.14954185853186855,317.49771501219806,1134.0566092842662,1408.792564340446
001960,gamma,line_random,img_align_celeba\001960.jpg,noise_image\001960_gamma.jpg,noise_inpainted_results\001960_gamma_line_random_inpainted.jpg,13.795400861840246,13.304416052683168,16.34985992529056,0.3882526368959112,0.16725138115663055,0.12798978834019284,2713.56528536577,3038.356681441776,1506.9344741091984
001961,exponential,line_random,img_align_celeba\001961.jpg,noise_image\001961_exponential.jpg,noise_inpainted_results\001961_exponential_line_random_inpainted.jpg,20.049288274066544,15.743701828533084,16.32083780038302,0.6298397846400202,0.3552236609222181,0.3088450492932182,642.912002199086,1732.6473473525066,1517.0384238738275
001962,uniform,line_random,img_align_celeba\001962.jpg,noise_image\001962_uniform.jpg,noise_inpainted_results\001962_uniform_line_random_inpainted.jpg,21.666589922295646,17.367151857161996,16.12172447650372,0.4589434529563157,0.12426416370858111,0.07438875543133992,443.01799642648524,1192.2440813661822,1588.209952582208
001963,gaussian,line_random,img_align_celeba\001963.jpg,noise_image\001963_gaussian.jpg,noise_inpainted_results\001963_gaussian_line_random_inpainted.jpg,23.46522904102929,18.303929148749745,17.317512334888757,0.5345791676705872,0.24246203067280048,0.16326741974752143,292.7908205339656,960.9204721162766,1205.9495155138645
001964,exponential,line_random,img_align_celeba\001964.jpg,noise_image\001964_exponential.jpg,noise_inpainted_results\001964_exponential_line_random_inpainted.jpg,18.563816575735142,15.660006586224718,16.55328972541883,0.4720214356407955,0.20809655688172213,0.15472190993790183,905.1044565852318,1766.3619558121156,1437.975174380648
001965,gaussian,line_random,img_align_celeba\001965.jpg,noise_image\001965_gaussian.jpg,noise_inpainted_results\001965_gaussian_line_random_inpainted.jpg,23.036854456980286,19.26954793812659,17.820112909074556,0.42539681695594256,0.22461030800218115,0.14473905662641207,323.143120984091,769.3528502216267,1074.1602326220664
001966,gamma,line_random,img_align_celeba\001966.jpg,noise_image\001966_gamma.jpg,noise_inpainted_results\001966_gamma_line_random_inpainted.jpg,16.18662485931609,14.743805504438214,18.343729744127266,0.6915556508332098,0.5040913085912746,0.4669295524385775,1564.6524155585334,2181.2217039480465,952.1544170704051
001967,exponential,line_random,img_align_celeba\001967.jpg,noise_image\001967_exponential.jpg,noise_inpainted_results\001967_exponential_line_random_inpainted.jpg,19.900410842434365,16.25376081529877,17.298865512383866,0.7016610700147305,0.3961307196102244,0.3341602482925272,665.3333247431536,1540.6510325396007,1211.1384994674088
001968,gaussian,line_random,img_align_celeba\001968.jpg,noise_image\001968_gaussian.jpg,noise_inpainted_results\001968_gaussian_line_random_inpainted.jpg,23.491166744336592,17.581470311448726,16.83848464105737,0.4492614733734024,0.23151732104828351,0.20737935308547248,291.04737484108165,1134.8365890114421,1346.579184276535
001969,gamma,line_random,img_align_celeba\001969.jpg,noise_image\001969_gamma.jpg,noise_inpainted_results\001969_gamma_line_random_inpainted.jpg,15.22105787834722,14.043526937971293,16.921539285715347,0.5521711292211542,0.36706664885284757,0.33539635146880514,1954.2250369377728,2562.876430264921,1321.0718310827062
001970,uniform,line_random,img_align_celeba\001970.jpg,noise_image\001970_uniform.jpg,noise_inpainted_results\001970_uniform_line_random_inpainted.jpg,21.53241850532735,18.125395010313635,16.572507548891974,0.39718159399861186,0.14707677055231372,0.09054659481299798,456.9182558499124,1001.2461515994914,1431.6260952479126
001971,exponential,line_random,img_align_celeba\001971.jpg,noise_image\001971_exponential.jpg,noise_inpainted_results\001971_exponential_line_random_inpainted.jpg,18.666981063786693,16.962801422554126,17.888018545684506,0.38998601495305785,0.2043472724922245,0.13043207295039164,883.8575060990275,1308.5798199498333,1057.4954472047555
001972,gamma,line_random,img_align_celeba\001972.jpg,noise_image\001972_gamma.jpg,noise_inpainted_results\001972_gamma_line_random_inpainted.jpg,15.347780614921504,12.595467579929068,14.860519717677116,0.5770724409958413,0.3370029948765248,0.3090067029723538,1898.0266209669107,3577.1207693364945,2123.383259457788
001973,gaussian,line_random,img_align_celeba\001973.jpg,noise_image\001973_gaussian.jpg,noise_inpainted_results\001973_gaussian_line_random_inpainted.jpg,23.77369687687898,17.987540262101337,17.30408248038713,0.3952025624673276,0.19217314429668542,0.17129924638060015,272.71603442944024,1033.5377280692712,1209.6844912895579
001974,uniform,line_random,img_align_celeba\001974.jpg,noise_image\001974_uniform.jpg,noise_inpainted_results\001974_uniform_line_random_inpainted.jpg,23.166133718355578,17.14699439759229,16.93290331027978,0.40174156945141415,0.15368646417277765,0.1626398727506693,313.66567020582073,1254.2407913273546,1317.6195495309762
